time,.left,.right,.forward,.stop,.sound
2020/11/02/21:42:51.792377,1,0,0,0,0
2020/11/02/21:42:51.798695,1,0,0,0,0
2020/11/02/21:42:51.802933,1,0,0,0,0
2020/11/02/21:42:51.807565,1,0,0,0,0
2020/11/02/21:42:51.812230,1,0,0,0,0
2020/11/02/21:42:51.817029,1,0,0,0,0
2020/11/02/21:42:51.822880,1,0,0,0,0
2020/11/02/21:42:51.827277,1,0,0,0,0
2020/11/02/21:42:51.832602,1,0,0,0,0
2020/11/02/21:42:51.839207,1,0,0,0,0
2020/11/02/21:42:51.843296,1,0,0,0,0
2020/11/02/21:42:51.848211,1,0,0,0,0
2020/11/02/21:42:51.853014,1,0,0,0,0
2020/11/02/21:42:51.859184,1,0,0,0,0
2020/11/02/21:42:51.862638,1,0,0,0,0
2020/11/02/21:42:51.867233,1,0,0,0,0
2020/11/02/21:42:51.872812,1,0,0,0,0
2020/11/02/21:42:51.877767,1,0,0,0,0
2020/11/02/21:42:51.883455,1,0,0,0,0
2020/11/02/21:42:51.887860,1,0,0,0,0
2020/11/02/21:42:51.892340,1,0,0,0,0
2020/11/02/21:42:51.898141,1,0,0,0,0
2020/11/02/21:42:51.902662,1,0,0,0,0
2020/11/02/21:42:51.907251,1,0,0,0,0
2020/11/02/21:42:51.911812,1,0,0,0,0
2020/11/02/21:42:51.917633,1,0,0,0,0
2020/11/02/21:42:51.922292,1,0,0,0,0
2020/11/02/21:42:51.927572,1,0,0,0,0
2020/11/02/21:42:51.932765,1,0,0,0,0
2020/11/02/21:42:51.937254,1,0,0,0,0
2020/11/02/21:42:51.942328,1,0,0,0,0
2020/11/02/21:42:51.947898,1,0,0,0,0
2020/11/02/21:42:51.954746,1,0,0,0,0
2020/11/02/21:42:51.956903,1,0,0,0,0
2020/11/02/21:42:51.962380,1,0,0,0,0
2020/11/02/21:42:51.968094,1,0,0,0,0
2020/11/02/21:42:51.973477,1,0,0,0,0
2020/11/02/21:42:51.977338,1,0,0,0,0
2020/11/02/21:42:51.983577,1,0,0,0,0
2020/11/02/21:42:51.989464,1,0,0,0,0
2020/11/02/21:42:51.993740,1,0,0,0,0
2020/11/02/21:42:51.998889,1,0,0,0,0
2020/11/02/21:42:52.003396,1,0,0,0,0
2020/11/02/21:42:52.007771,1,0,0,0,0
2020/11/02/21:42:52.013770,1,0,0,0,0
2020/11/02/21:42:52.017481,1,0,0,0,0
2020/11/02/21:42:52.023057,1,0,0,0,0
2020/11/02/21:42:52.028105,1,0,0,0,0
2020/11/02/21:42:52.033075,1,0,0,0,0
2020/11/02/21:42:52.038421,1,0,0,0,0
2020/11/02/21:42:52.043141,1,0,0,0,0
2020/11/02/21:42:52.047007,1,0,0,0,0
2020/11/02/21:42:52.053335,1,0,0,0,0
2020/11/02/21:42:52.059923,1,0,0,0,0
2020/11/02/21:42:52.062750,1,0,0,0,0
2020/11/02/21:42:52.067303,1,0,0,0,0
2020/11/02/21:42:52.072884,1,0,0,0,0
2020/11/02/21:42:52.079119,1,0,0,0,0
2020/11/02/21:42:52.082234,1,0,0,0,0
2020/11/02/21:42:52.087535,1,0,0,0,0
2020/11/02/21:42:52.092469,1,0,0,0,0
2020/11/02/21:42:52.098470,1,0,0,0,0
2020/11/02/21:42:52.102965,1,0,0,0,0
2020/11/02/21:42:52.107667,1,0,0,0,0
2020/11/02/21:42:52.113062,1,0,0,0,0
2020/11/02/21:42:52.118142,1,0,0,0,0
2020/11/02/21:42:52.122757,1,0,0,0,0
2020/11/02/21:42:52.128186,1,0,0,0,0
2020/11/02/21:42:52.134306,1,0,0,0,0
2020/11/02/21:42:52.139185,1,0,0,0,0
2020/11/02/21:42:52.142738,1,0,0,0,0
2020/11/02/21:42:52.148465,1,0,0,0,0
2020/11/02/21:42:52.153361,1,0,0,0,0
2020/11/02/21:42:52.157795,1,0,0,0,0
2020/11/02/21:42:52.163188,1,0,0,0,0
2020/11/02/21:42:52.168559,1,0,0,0,0
2020/11/02/21:42:52.173292,1,0,0,0,0
2020/11/02/21:42:52.177893,1,0,0,0,0
2020/11/02/21:42:52.182411,1,0,0,0,0
2020/11/02/21:42:52.187415,1,0,0,0,0
2020/11/02/21:42:52.193785,1,0,0,0,0
2020/11/02/21:42:52.197900,1,0,0,0,0
2020/11/02/21:42:52.203253,1,0,0,0,0
2020/11/02/21:42:52.208401,1,0,0,0,0
2020/11/02/21:42:52.213246,1,0,0,0,0
2020/11/02/21:42:52.220188,1,0,0,0,0
2020/11/02/21:42:52.222964,1,0,0,0,0
2020/11/02/21:42:52.226822,1,0,0,0,0
2020/11/02/21:42:52.232315,1,0,0,0,0
2020/11/02/21:42:52.237190,1,0,0,0,0
2020/11/02/21:42:52.242503,1,0,0,0,0
2020/11/02/21:42:52.247775,1,0,0,0,0
2020/11/02/21:42:52.252897,1,0,0,0,0
2020/11/02/21:42:52.259019,1,0,0,0,0
2020/11/02/21:42:52.262216,1,0,0,0,0
2020/11/02/21:42:52.267883,1,0,0,0,0
2020/11/02/21:42:52.272886,1,0,0,0,0
