time,.left,.right,.forward,.stop,.sound
2020/10/19/16:06:22.468467,0,1,0,0,0
2020/10/19/16:06:22.473644,0,1,0,0,0
2020/10/19/16:06:22.478632,0,1,0,0,0
2020/10/19/16:06:22.484285,0,1,0,0,0
2020/10/19/16:06:22.488823,0,1,0,0,0
2020/10/19/16:06:22.493812,0,1,0,0,0
2020/10/19/16:06:22.498359,0,1,0,0,0
2020/10/19/16:06:22.503262,0,1,0,0,0
2020/10/19/16:06:22.509008,0,1,0,0,0
2020/10/19/16:06:22.514009,0,1,0,0,0
2020/10/19/16:06:22.518471,0,1,0,0,0
2020/10/19/16:06:22.523038,0,1,0,0,0
2020/10/19/16:06:22.528696,0,1,0,0,0
2020/10/19/16:06:22.533931,0,1,0,0,0
2020/10/19/16:06:22.538456,0,1,0,0,0
2020/10/19/16:06:22.544228,0,1,0,0,0
2020/10/19/16:06:22.549487,0,1,0,0,0
2020/10/19/16:06:22.559445,0,1,0,0,0
2020/10/19/16:06:22.560957,0,1,0,0,0
2020/10/19/16:06:22.564486,0,1,0,0,0
2020/10/19/16:06:22.568800,0,1,0,0,0
2020/10/19/16:06:22.574010,0,1,0,0,0
2020/10/19/16:06:22.578038,0,1,0,0,0
2020/10/19/16:06:22.583166,0,1,0,0,0
2020/10/19/16:06:22.588078,0,1,0,0,0
2020/10/19/16:06:22.594494,0,1,0,0,0
2020/10/19/16:06:22.598273,0,1,0,0,0
2020/10/19/16:06:22.604030,0,1,0,0,0
2020/10/19/16:06:22.608325,0,1,0,0,0
2020/10/19/16:06:22.613646,0,1,0,0,0
2020/10/19/16:06:22.618616,0,1,0,0,0
2020/10/19/16:06:22.623662,0,1,0,0,0
2020/10/19/16:06:22.630002,0,1,0,0,0
2020/10/19/16:06:22.633090,0,1,0,0,0
2020/10/19/16:06:22.638530,0,1,0,0,0
2020/10/19/16:06:22.645464,0,1,0,0,0
2020/10/19/16:06:22.649439,0,1,0,0,0
2020/10/19/16:06:22.653634,0,1,0,0,0
2020/10/19/16:06:22.658625,0,1,0,0,0
2020/10/19/16:06:22.664752,0,1,0,0,0
2020/10/19/16:06:22.670157,0,1,0,0,0
2020/10/19/16:06:22.674058,0,1,0,0,0
2020/10/19/16:06:22.679301,0,1,0,0,0
2020/10/19/16:06:22.683563,0,1,0,0,0
2020/10/19/16:06:22.688798,0,1,0,0,0
2020/10/19/16:06:22.693107,0,1,0,0,0
2020/10/19/16:06:22.698368,0,1,0,0,0
2020/10/19/16:06:22.704994,0,1,0,0,0
2020/10/19/16:06:22.708517,0,1,0,0,0
2020/10/19/16:06:22.714732,0,1,0,0,0
2020/10/19/16:06:22.719421,0,1,0,0,0
2020/10/19/16:06:22.723930,0,1,0,0,0
2020/10/19/16:06:22.732906,0,1,0,0,0
2020/10/19/16:06:22.734221,0,1,0,0,0
2020/10/19/16:06:22.738878,0,1,0,0,0
2020/10/19/16:06:22.744162,0,1,0,0,0
2020/10/19/16:06:22.749363,0,1,0,0,0
2020/10/19/16:06:22.753885,0,1,0,0,0
2020/10/19/16:06:22.758772,0,1,0,0,0
2020/10/19/16:06:22.764138,0,1,0,0,0
2020/10/19/16:06:22.769431,0,1,0,0,0
2020/10/19/16:06:22.774584,0,1,0,0,0
2020/10/19/16:06:22.781963,0,1,0,0,0
2020/10/19/16:06:22.783651,0,1,0,0,0
2020/10/19/16:06:22.788911,0,1,0,0,0
2020/10/19/16:06:22.794735,0,1,0,0,0
2020/10/19/16:06:22.798810,0,1,0,0,0
