,threshold,tdr,navigation_time
0,10,46.222774391933335,115.849955972
1,10,19.681909162138002,116.32706146400001
2,10,11.876595044047155,102.59750128600001
3,10,24.027669186953705,103.949508847
4,10,8.556072238173693,87.71952900500001
5,10,15.13750725664921,79.50889423000001
6,10,20.675078288347187,65.58755356500001
7,20,20.177153627529247,93.11335135200001
8,20,20.219752372448433,99.593497498
9,20,12.05258230645513,75.34854061600001
10,20,10.751673379149828,86.56206807400001
11,20,11.106827445840493,87.417184761
12,20,10.157584940455742,60.983800039
13,20,20.95768186842271,63.989370231
14,30,18.451602024480703,65.621079342
15,30,25.776539891130785,102.596545957
16,30,19.65664722962448,78.055433355
17,30,10.36316969974613,84.56605667800001
18,30,12.88701376900934,86.918009017
19,30,10.157584940455742,60.983800039
20,30,19.84010525458087,59.481275833000005
21,40,17.464624965698768,66.949188744
22,40,29.937925341867288,89.22557866400001
23,40,19.22888803356203,76.82196043100001
24,40,45.46364153058037,94.58044164
25,40,20.706110053076088,96.429052748
26,40,22.92914638347242,66.793940815
27,40,33.32138823517079,71.496183288
28,60,49.581963649965,81.516092759
29,60,97.73720644349257,178.250370032
30,60,77.02238555276496,114.12782823900001
31,60,45.46364153058037,94.58044164
32,60,59.891004873267974,139.783622314
33,60,85.59836556869543,91.022718815
34,60,182.22279508435957,177.3341196
35,80,375.60047609907235,267.605568769
36,80,274.2428297486586,373.00420426100004
37,80,355.01621046339096,709.3914561930001
38,80,490.1007999110064,465.887462841
39,80,289.97735283543176,399.51617953000004
40,80,1351.3901998327508,688.1762898400001
41,80,612.9765332389702,566.2236060930001
