rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1606295379778809394,,88171,,1606295379,26344064,"""spatial""",,4.3553527832e-05,-4.03353805542e-06,2.18673904419e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379778830969,,88172,,1606295379,78745624,"""spatial""",,4.35514251709e-05,-4.34525375366e-06,2.18867462158e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379778856442,,88173,,1606295379,133381310,"""spatial""",,4.35977905273e-05,-4.66608047485e-06,2.19273849487e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379778946785,,88174,,1606295379,192827045,"""spatial""",,4.35335449219e-05,-4.84382896423e-06,2.19246490479e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379778996549,,88175,,1606295379,225409744,"""spatial""",,4.35868133545e-05,-5.09532470703e-06,2.18973724365e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779007501,,88176,,1606295379,274614479,"""spatial""",,4.3622845459e-05,-5.37777442932e-06,2.19049819946e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779025267,,88177,,1606295379,328464127,"""spatial""",,4.36491210937e-05,-5.54171524048e-06,2.18877838135e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779046088,,88178,,1606295379,388028550,"""spatial""",,4.36073547363e-05,-5.80769767761e-06,2.18038574219e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779269063,,88179,,1606295379,424627361,"""spatial""",,4.36316223145e-05,-5.9578540802e-06,2.18129882812e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779469961,,88180,,1606295379,477935222,"""spatial""",,4.36685913086e-05,-6.03636474609e-06,2.1820072937e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779495618,,88181,,1606295379,528868645,"""spatial""",,4.36622406006e-05,-6.24767875671e-06,2.17608459473e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779513085,,88182,,1606295379,588262880,"""spatial""",,4.36718933105e-05,-6.3012638092e-06,2.16927490234e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779540967,,88183,,1606295379,624765566,"""spatial""",,4.36798400879e-05,-6.39203491211e-06,2.17943603516e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779702255,,88184,,1606295379,693317401,"""spatial""",,4.367940979e-05,-6.47087478638e-06,2.17321655273e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779721276,,88185,,1606295379,728088350,"""spatial""",,4.36811309814e-05,-6.44839477539e-06,2.18060180664e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779737842,,88186,,1606295379,783667910,"""spatial""",,4.37001739502e-05,-6.58355331421e-06,2.17522323608e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379779753781,,88187,,1606295379,832926158,"""spatial""",,4.38357177734e-05,-6.65527954102e-06,2.16274719238e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379786889540,,88188,,1606295379,888471519,"""spatial""",,4.39090423584e-05,-6.61865921021e-06,2.14206054687e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379817607350,,88189,,1606295379,925412405,"""spatial""",,4.40395202637e-05,-6.55614624023e-06,2.12309448242e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379876446185,,88190,,1606295379,984062677,"""spatial""",,4.39921875e-05,-6.54006652832e-06,2.12426513672e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379925465786,,88191,,1606295380,33425075,"""spatial""",,4.40987060547e-05,-6.57774353027e-06,2.11391998291e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295379981402819,,88192,,1606295380,88699861,"""spatial""",,4.40841247559e-05,-6.68349304199e-06,2.11513717651e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380017746435,,88193,,1606295380,125305334,"""spatial""",,4.4094140625e-05,-6.76528320312e-06,2.1089390564e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380076406014,,88194,,1606295380,183239957,"""spatial""",,4.40550720215e-05,-6.90236206055e-06,2.11150558472e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380120614124,,88195,,1606295380,228338756,"""spatial""",,4.40787414551e-05,-6.90513458252e-06,2.11375930786e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380180656177,,88196,,1606295380,287776028,"""spatial""",,4.40560638428e-05,-6.9271736145e-06,2.11671936035e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380231128031,,88197,,1606295380,338634239,"""spatial""",,4.39952697754e-05,-6.96161346436e-06,2.1137562561e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380271427224,,88198,,1606295380,378418262,"""spatial""",,4.38877593994e-05,-7.05074310303e-06,2.12782470703e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380321128197,,88199,,1606295380,427335910,"""spatial""",,4.37988372803e-05,-7.06185913086e-06,2.14912963867e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380380740433,,88200,,1606295380,488809083,"""spatial""",,4.36833648682e-05,-7.17441864014e-06,2.16880889893e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380422458772,,88201,,1606295380,524685369,"""spatial""",,4.3561126709e-05,-7.25344161987e-06,2.1959715271e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380491646688,,88202,,1606295380,578347917,"""spatial""",,4.34093322754e-05,-7.30446395874e-06,2.22056640625e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380520931958,,88203,,1606295380,627366453,"""spatial""",,4.33722839355e-05,-7.36101455688e-06,2.24181350708e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380574893427,,88204,,1606295380,683469363,"""spatial""",,4.32863433838e-05,-7.56701507568e-06,2.26497497559e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380631734457,,88205,,1606295380,737945011,"""spatial""",,4.31724304199e-05,-7.65818023682e-06,2.28002532959e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380667512194,,88206,,1606295380,774494735,"""spatial""",,4.31256713867e-05,-7.84624023437e-06,2.28402328491e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380724731420,,88207,,1606295380,826473295,"""spatial""",,4.30138580322e-05,-8.19316558838e-06,2.29857757568e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380771388829,,88208,,1606295380,878880093,"""spatial""",,4.29239807129e-05,-8.54001922607e-06,2.31793640137e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380827468037,,88209,,1606295380,933689541,"""spatial""",,4.28639221191e-05,-8.81313171387e-06,2.31918838501e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380871015677,,88210,,1606295380,974708190,"""spatial""",,4.28602081299e-05,-9.04914093018e-06,2.32095184326e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380924304758,,88211,,1606295381,26545013,"""spatial""",,4.28335327148e-05,-9.29805450439e-06,2.31964202881e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295380977087561,,88212,,1606295381,82902835,"""spatial""",,4.27707336426e-05,-9.59845962524e-06,2.32851455688e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295381284738117,,88213,,1606295381,133604071,"""spatial""",,4.26644104004e-05,-9.81625213623e-06,2.34020263672e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295381351208845,,88214,,1606295381,193022181,"""spatial""",,4.25181427002e-05,-1.00226669312e-05,2.34018112183e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295381351218159,,88215,,1606295381,225754867,"""spatial""",,4.24806091309e-05,-1.01115234375e-05,2.34924331665e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295381351223954,,88216,,1606295381,277976078,"""spatial""",,4.24433441162e-05,-1.02014877319e-05,2.35152359009e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1606295381351230723,,88217,,1606295381,328830801,"""spatial""",,4.24981689453e-05,-1.01100082397e-05,2.35274932861e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
