rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,temperature,variance
1606295379779023054,,88181,,1606295379,528868645,"""spatial""",20.7402954102,0.0
1606295379779046699,,88182,,1606295379,588262880,"""spatial""",20.7481784821,0.0
1606295379779072563,,88183,,1606295379,624765566,"""spatial""",20.7369613647,0.0
1606295379779158362,,88184,,1606295379,693317401,"""spatial""",20.7430000305,0.0
1606295379779223914,,88185,,1606295379,728088350,"""spatial""",20.7465305328,0.0
1606295379779230064,,88186,,1606295379,783667910,"""spatial""",20.7372322083,0.0
1606295379779245624,,88187,,1606295379,832926158,"""spatial""",20.7328224182,0.0
1606295379789707910,,88188,,1606295379,888471519,"""spatial""",20.7479972839,0.0
1606295379817742077,,88189,,1606295379,925412405,"""spatial""",20.7508220673,0.0
1606295379876585331,,88190,,1606295379,984062677,"""spatial""",20.7454719543,0.0
1606295379925638610,,88191,,1606295380,33425075,"""spatial""",20.7333526611,0.0
1606295379981471967,,88192,,1606295380,88699861,"""spatial""",20.7439842224,0.0
1606295380017862570,,88193,,1606295380,125305334,"""spatial""",20.7474098206,0.0
1606295380076654874,,88194,,1606295380,183239957,"""spatial""",20.7387638092,0.0
1606295380120753030,,88195,,1606295380,228338756,"""spatial""",20.7512359619,0.0
1606295380180981604,,88196,,1606295380,287776028,"""spatial""",20.7509403229,0.0
1606295380231777680,,88197,,1606295380,338634239,"""spatial""",20.7487068176,0.0
1606295380271522644,,88198,,1606295380,378418262,"""spatial""",20.7452926636,0.0
1606295380321244400,,88199,,1606295380,427335910,"""spatial""",20.7497634888,0.0
1606295380380870482,,88200,,1606295380,488809083,"""spatial""",20.7347640991,0.0
1606295380422567878,,88201,,1606295380,524685369,"""spatial""",20.7276573181,0.0
1606295380491772789,,88202,,1606295380,578347917,"""spatial""",20.7464675903,0.0
1606295380521042995,,88203,,1606295380,627366453,"""spatial""",20.7355899811,0.0
1606295380575002094,,88204,,1606295380,683469363,"""spatial""",20.7377071381,0.0
1606295380631843642,,88205,,1606295380,737945011,"""spatial""",20.7385883331,0.0
1606295380667620067,,88206,,1606295380,774494735,"""spatial""",20.7490558624,0.0
1606295380725332161,,88207,,1606295380,826473295,"""spatial""",20.7379398346,0.0
1606295380771505421,,88208,,1606295380,878880093,"""spatial""",20.7388820648,0.0
1606295380828175458,,88209,,1606295380,933689541,"""spatial""",20.7348251343,0.0
1606295380871149101,,88210,,1606295380,974708190,"""spatial""",20.733959198,0.0
1606295380924728480,,88211,,1606295381,26545013,"""spatial""",20.7364082336,0.0
1606295380979714998,,88212,,1606295381,82902835,"""spatial""",20.7421722412,0.0
1606295381284865921,,88213,,1606295381,133604071,"""spatial""",20.7391166687,0.0
1606295381350408611,,88214,,1606295381,193022181,"""spatial""",20.7362937927,0.0
1606295381350437639,,88215,,1606295381,225754867,"""spatial""",20.7399978638,0.0
1606295381350448501,,88216,,1606295381,277976078,"""spatial""",20.7425289154,0.0
1606295381350487301,,88217,,1606295381,328830801,"""spatial""",20.7411155701,0.0
1606295381448200444,,88218,,1606295381,388662199,"""spatial""",20.7356472015,0.0
1606295381448208085,,88219,,1606295381,424896560,"""spatial""",20.7263393402,0.0
1606295381500447091,,88220,,1606295381,478224333,"""spatial""",20.731760025,0.0
1606295381500455246,,88221,,1606295381,532919731,"""spatial""",20.7346458435,0.0
1606295381552554265,,88222,,1606295381,588451966,"""spatial""",20.7239990234,0.0
1606295381590546352,,88223,,1606295381,625020665,"""spatial""",20.7418212891,0.0
1606295381617274898,,88224,,1606295381,693523912,"""spatial""",20.7389411926,0.0
1606295381691715113,,88225,,1606295381,728121373,"""spatial""",20.7340602875,0.0
1606295381719339860,,88226,,1606295381,784086334,"""spatial""",20.7301807404,0.0
1606295381744686597,,88227,,1606295381,833406619,"""spatial""",20.7352352142,0.0
1606295381781312944,,88228,,1606295381,888818430,"""spatial""",20.7405281067,0.0
1606295381817852991,,88229,,1606295381,925317278,"""spatial""",20.7319793701,0.0
1606295381876582926,,88230,,1606295381,984131376,"""spatial""",20.7427654266,0.0
1606295381970875664,,88231,,1606295382,33454624,"""spatial""",20.7379436493,0.0
1606295382003260583,,88232,,1606295382,92976297,"""spatial""",20.7354717255,0.0
1606295382018443700,,88233,,1606295382,125522208,"""spatial""",20.7317047119,0.0
1606295382080756925,,88234,,1606295382,183483281,"""spatial""",20.7289409637,0.0
1606295382121262180,,88235,,1606295382,228905779,"""spatial""",20.7321224213,0.0
1606295382179863995,,88236,,1606295382,288248364,"""spatial""",20.7310600281,0.0
1606295382216860811,,88237,,1606295382,324599988,"""spatial""",20.7337169647,0.0
1606295382271316904,,88238,,1606295382,378512299,"""spatial""",20.7418193817,0.0
1606295382320028785,,88239,,1606295382,427341247,"""spatial""",20.7374706268,0.0
1606295382380327344,,88240,,1606295382,488292769,"""spatial""",20.7367038727,0.0
1606295382417997430,,88241,,1606295382,524860255,"""spatial""",20.7282905579,0.0
1606295382470978332,,88242,,1606295382,578727053,"""spatial""",20.7332382202,0.0
1606295382520433745,,88243,,1606295382,627883127,"""spatial""",20.7470607758,0.0
1606295382575268395,,88244,,1606295382,683829099,"""spatial""",20.7275905609,0.0
1606295382631379610,,88245,,1606295382,738347185,"""spatial""",20.7288799286,0.0
1606295382671560110,,88246,,1606295382,774805371,"""spatial""",20.7285575867,0.0
1606295382718578663,,88247,,1606295382,826604044,"""spatial""",20.7338237762,0.0
1606295383035661843,,88248,,1606295382,883078154,"""spatial""",20.7379417419,0.0
1606295383083714624,,88249,,1606295382,933741215,"""spatial""",20.7312908173,0.0
1606295383083724538,,88250,,1606295382,978055688,"""spatial""",20.7272949219,0.0
1606295383083731557,,88251,,1606295383,26802124,"""spatial""",20.7323532104,0.0
1606295383083737330,,88252,,1606295383,83208897,"""spatial""",20.7408809662,0.0
1606295383110994693,,88253,,1606295383,133980945,"""spatial""",20.7282943726,0.0
1606295383111006536,,88254,,1606295383,193485767,"""spatial""",20.738822937,0.0
1606295383189324969,,88255,,1606295383,225920704,"""spatial""",20.7428817749,0.0
1606295383213222720,,88256,,1606295383,278264602,"""spatial""",20.7325820923,0.0
1606295383259213518,,88257,,1606295383,332971762,"""spatial""",20.7369384766,0.0
1606295383295488767,,88258,,1606295383,388611685,"""spatial""",20.7290554047,0.0
1606295383330389570,,88259,,1606295383,425200921,"""spatial""",20.7258224487,0.0
1606295383432760167,,88260,,1606295383,478531344,"""spatial""",20.7262935638,0.0
1606295383456788315,,88261,,1606295383,533189879,"""spatial""",20.7317657471,0.0
1606295383498969907,,88262,,1606295383,588927852,"""spatial""",20.7329978943,0.0
1606295383520968965,,88263,,1606295383,625460376,"""spatial""",20.7397041321,0.0
1606295383591697250,,88264,,1606295383,693924748,"""spatial""",20.7317066193,0.0
1606295383632507859,,88265,,1606295383,728600885,"""spatial""",20.7401409149,0.0
1606295383685991886,,88266,,1606295383,784335007,"""spatial""",20.7348804474,0.0
1606295383725682717,,88267,,1606295383,833524568,"""spatial""",20.7286472321,0.0
1606295383788832210,,88268,,1606295383,892995391,"""spatial""",20.7215309143,0.0
1606295383817837450,,88269,,1606295383,925529440,"""spatial""",20.7363529205,0.0
1606295383880211694,,88270,,1606295383,987983400,"""spatial""",20.7362384796,0.0
1606295383925201174,,88271,,1606295384,33724810,"""spatial""",20.7308235168,0.0
1606295383986975272,,88272,,1606295384,93362808,"""spatial""",20.7295894623,0.0
1606295384018660166,,88273,,1606295384,126092019,"""spatial""",20.733587265,0.0
1606295384148042025,,88274,,1606295384,183703980,"""spatial""",20.7281398773,0.0
1606295384174482185,,88275,,1606295384,228829553,"""spatial""",20.731880188,0.0
1606295384201186899,,88276,,1606295384,288278638,"""spatial""",20.7355327606,0.0
1606295384216251999,,88277,,1606295384,324853574,"""spatial""",20.7245254517,0.0
1606295384272545939,,88278,,1606295384,378840472,"""spatial""",20.7265300751,0.0
1606295384320561716,,88279,,1606295384,427981608,"""spatial""",20.7298851013,0.0
1606295384380254587,,88280,,1606295384,488964668,"""spatial""",20.7292938232,0.0
1606295384417317459,,88281,,1606295384,525330529,"""spatial""",20.7265892029,0.0
1606295384470822459,,88282,,1606295384,579104002,"""spatial""",20.7375869751,0.0
1606295384520112373,,88283,,1606295384,628208363,"""spatial""",20.7252006531,0.0
1606295384575897400,,88284,,1606295384,684037048,"""spatial""",20.730173111,0.0
1606295384631110861,,88285,,1606295384,738624583,"""spatial""",20.7255859375,0.0
1606295384669603625,,88286,,1606295384,778104644,"""spatial""",20.7292976379,0.0
1606295384718607684,,88287,,1606295384,826928080,"""spatial""",20.7301750183,0.0
1606295384819073679,,88288,,1606295384,883635703,"""spatial""",20.7278862,0.0
1606295384860521187,,88289,,1606295384,934107064,"""spatial""",20.7327632904,0.0
1606295384871514877,,88290,,1606295384,978762799,"""spatial""",20.7391166687,0.0
1606295384919326274,,88291,,1606295385,27340972,"""spatial""",20.729883194,0.0
1606295384976158444,,88292,,1606295385,83491108,"""spatial""",20.7290363312,0.0
1606295385025630612,,88293,,1606295385,134159343,"""spatial""",20.737411499,0.0
1606295385085244075,,88294,,1606295385,193745804,"""spatial""",20.7237625122,0.0
1606295385119252283,,88295,,1606295385,226363677,"""spatial""",20.7294692993,0.0
1606295385170646775,,88296,,1606295385,278724088,"""spatial""",20.7271137238,0.0
1606295385225014586,,88297,,1606295385,333494673,"""spatial""",20.7252979279,0.0
1606295385281645722,,88298,,1606295385,388798496,"""spatial""",20.7251777649,0.0
1606295385332186014,,88299,,1606295385,425545370,"""spatial""",20.7253494263,0.0
1606295385371431446,,88300,,1606295385,478954168,"""spatial""",20.7386493683,0.0
1606295385427235028,,88301,,1606295385,533528416,"""spatial""",20.7202167511,0.0
1606295385481041470,,88302,,1606295385,588975476,"""spatial""",20.7258224487,0.0
1606295385520337893,,88303,,1606295385,625565337,"""spatial""",20.7331161499,0.0
1606295385568250295,,88304,,1606295385,675288085,"""spatial""",20.7283554077,0.0
1606295385620183852,,88305,,1606295385,728639058,"""spatial""",20.7309379578,0.0
1606295385679409417,,88306,,1606295385,788154706,"""spatial""",20.7199420929,0.0
1606295385734791798,,88307,,1606295385,834613729,"""spatial""",20.728351593,0.0
1606295385786169261,,88308,,1606295385,893410764,"""spatial""",20.7278213501,0.0
1606295385820993925,,88309,,1606295385,926108876,"""spatial""",20.7275276184,0.0
1606295385883281711,,88310,,1606295385,988346436,"""spatial""",20.7308998108,0.0
1606295385917697647,,88311,,1606295386,25239809,"""spatial""",20.7195854187,0.0
1606295385985740374,,88312,,1606295386,93496044,"""spatial""",20.7252349854,0.0
1606295386017883963,,88313,,1606295386,126109093,"""spatial""",20.7318210602,0.0
1606295386074786223,,88314,,1606295386,183782703,"""spatial""",20.7253513336,0.0
1606295386125425664,,88315,,1606295386,233126514,"""spatial""",20.7292919159,0.0
1606295386179521558,,88316,,1606295386,288568974,"""spatial""",20.7329425812,0.0
1606295386217188112,,88317,,1606295386,325302298,"""spatial""",20.72605896,0.0
1606295386270908745,,88318,,1606295386,379207946,"""spatial""",20.7247066498,0.0
