rosbagTimestamp,data
1606295379925986905,22
1606295380121984563,22
1606295380322357917,22
1606295380522051139,22
1606295380735680158,22
1606295380944553577,22
1606295381335913160,22
1606295381391374732,22
1606295381562806883,22
1606295381746706686,22
1606295381974156586,22
1606295382124907433,22
1606295382321504091,22
1606295382521821887,22
1606295382739262772,22
1606295383077423339,22
1606295383192027919,22
1606295383418521490,22
1606295383530841122,22
1606295383727931460,22
1606295383926589656,22
1606295384165432042,22
1606295384321776852,22
1606295384521900153,22
1606295384736298039,22
1606295384919695106,22
1606295385134780927,22
1606295385337214909,22
1606295385530399218,22
1606295385735332329,22
1606295385927577239,22
1606295386127958354,22
1606295386321164669,22
1606295386524500427,22
1606295387131938038,22
1606295387194472602,22
1606295387321243391,22
1606295387431873399,22
1606295387554143882,22
1606295387728183921,22
1606295387931908876,22
1606295388126148944,22
1606295388326144120,22
1606295388543348487,22
1606295388720279044,22
1606295388921593879,22
1606295389135460619,22
1606295389346415337,22
1606295389563134621,22
1606295389985262785,22
1606295390193718436,22
1606295390292928086,22
1606295390394628309,22
1606295390583264923,22
1606295390756927507,22
1606295391195972669,22
1606295391417751164,22
1606295391506265206,22
1606295391605362800,22
1606295391775490807,22
1606295391964177639,22
1606295392163778462,22
1606295392342955230,22
1606295392522666190,22
1606295392722687679,22
1606295392921871554,22
1606295393134616562,22
1606295393329615987,22
1606295393566669537,22
1606295393728884114,22
1606295393930143119,22
1606295394131334239,22
1606295394325765813,22
1606295394526842361,22
1606295394724518879,22
1606295394925667607,22
1606295395121039030,22
1606295395331109369,22
1606295395535811276,22
1606295395730392745,22
1606295395929528285,22
1606295396125621644,22
1606295396330463718,22
1606295396527648839,22
1606295396722019440,22
1606295396924517217,22
1606295397121259567,22
1606295397335070368,22
1606295397534797300,22
1606295397729263857,22
1606295397929802933,22
1606295398129653562,22
1606295398330656575,22
1606295398535004442,22
1606295398757241179,22
1606295398922127446,22
1606295399121134253,22
1606295399336481613,22
1606295399534399827,22
1606295399731003273,22
1606295399930852562,22
1606295400171943596,22
1606295400327402419,22
1606295400535550158,22
1606295400723256977,22
1606295400930853524,22
1606295401167116516,22
1606295401334844266,22
1606295401535462741,22
1606295401729473969,22
1606295401935221627,22
1606295402129047772,22
1606295402326908697,22
1606295402528707085,22
1606295402732841445,22
1606295402938577927,22
1606295403196235761,22
1606295403345396239,22
1606295403523537688,22
1606295403730881427,22
1606295403934660002,22
1606295404129592336,22
1606295404327521419,22
1606295404525135361,22
1606295404726603257,22
1606295404930254806,22
1606295405124714013,22
1606295405319083539,22
1606295405519256812,22
1606295405733662610,22
1606295405947328655,22
1606295406129258264,22
1606295406326010798,22
1606295406526947792,22
1606295406734592623,22
1606295407004980097,22
1606295407185788660,22
1606295407321280578,22
1606295407520506367,22
1606295407736458620,22
1606295407935386695,22
1606295408130052767,22
1606295408373365108,22
1606295408525557963,22
1606295408726649462,22
1606295409016130016,22
1606295409159296085,22
1606295409320682807,22
1606295409520893888,22
1606295409737107761,22
1606295409936430064,22
1606295410139221070,22
1606295410358910133,22
1606295410540050770,22
1606295410741149914,22
1606295410988856488,22
1606295411290533231,22
1606295411372434531,22
1606295411596928905,22
1606295411759045840,22
1606295411920735120,22
1606295412130203906,22
1606295412329637802,22
1606295412529299533,22
1606295412728165969,22
1606295412925425682,22
1606295413240721537,22
1606295413340944056,22
1606295413520891079,22
1606295413719756103,22
1606295413918632268,22
1606295414134505873,22
1606295414329111778,22
1606295414529534021,22
1606295414725372925,22
1606295414925364857,22
1606295415180167315,22
1606295415351612003,22
1606295415543705362,22
1606295415741216652,22
1606295415922706746,22
1606295416149009455,22
1606295416330689472,22
1606295416530629382,22
1606295416737135169,22
1606295416926959934,22
1606295417130022352,22
1606295417362151411,22
1606295417524872956,22
1606295417722398960,22
1606295421495930795,22
1606295421800411325,22
1606295422727196899,22
1606295422727203122,22
1606295422727207489,22
1606295422727223738,22
1606295422727229018,22
1606295422727236564,22
1606295422727240951,22
1606295422727260594,22
1606295422727264465,22
1606295422727268592,22
1606295422727279216,22
1606295422727289267,22
1606295422727370969,22
1606295422727376523,22
1606295422727382071,22
1606295422727387690,22
1606295422727391511,22
1606295422727403209,22
1606295422842315289,22
1606295422842319462,22
1606295422842340752,22
1606295422842345367,22
1606295422842349325,22
1606295422986550301,22
1606295423158604525,22
1606295423478861382,22
1606295423646566804,22
1606295423779537251,22
1606295423953944556,22
1606295424157709793,22
1606295424364308166,22
1606295424581688532,22
1606295424771805048,22
1606295424971768297,22
1606295425165416326,22
1606295425404166093,22
1606295425650234100,22
1606295425744092537,22
1606295425945074915,22
1606295426145581935,22
1606295426354597125,22
1606295426557320500,22
1606295426753424670,22
1606295426949368252,22
1606295427139795508,22
1606295427327964450,22
1606295427553160018,22
1606295427745064704,22
1606295427941945798,22
1606295428136541064,22
1606295428339067751,22
1606295428547811115,22
1606295428745511919,22
1606295428934295871,22
1606295429129754009,22
1606295429331344610,22
1606295429592219665,22
1606295429856405494,22
1606295429994344687,22
1606295430154127130,22
1606295430350197660,22
1606295430518679911,22
1606295430736240330,22
1606295430939803141,22
1606295431128672432,22
1606295431325065113,22
1606295431524226070,22
1606295431772389957,22
1606295431927470361,22
1606295432120428338,22
1606295432318922896,22
1606295432522411749,22
1606295432736527845,22
1606295432959193092,22
1606295433135945187,22
1606295433325042732,22
1606295433524856426,22
1606295433726481767,22
1606295433926031462,22
1606295434121983948,22
1606295434321872213,22
1606295434531197441,22
1606295434746792634,22
1606295435030390890,22
1606295435219257877,22
1606295435469613230,22
1606295435678580282,22
1606295435772291335,22
1606295435978507234,22
1606295436165804267,22
1606295436350526426,22
1606295436654867988,22
1606295436752396002,22
1606295436935824308,22
1606295437147957253,22
1606295437325984517,22
1606295437536235446,22
1606295437815769269,22
1606295438111389297,22
1606295438143500503,22
1606295438320638380,22
1606295438520799882,22
1606295438740556568,22
1606295438918944614,22
1606295439131588562,22
1606295439328872433,22
1606295439530144400,22
1606295439727947692,22
1606295439926815516,22
1606295440147947634,22
1606295440321671608,22
1606295440522657548,22
1606295440722285648,21
1606295440930597409,21
1606295441181245972,21
1606295441481650992,21
1606295441549827148,21
1606295441737823076,21
1606295441949001361,21
1606295442130207934,21
1606295442331166149,21
1606295442530444127,21
1606295442724743002,21
1606295442929006269,21
1606295443125166490,21
1606295443324637962,21
1606295443526189034,21
1606295443721341574,21
1606295443926734085,21
1606295444125887273,21
1606295444319682117,21
1606295444522888740,21
1606295444718551745,21
1606295444921628738,21
1606295445134775737,21
1606295445329719062,21
1606295445535386790,21
1606295445730969981,21
1606295445937293560,21
1606295446133467298,21
1606295446325954396,22
1606295446529031583,22
1606295446725207381,22
1606295446924660460,22
1606295447126945737,21
1606295447323707495,21
1606295447521154349,21
1606295447720420962,21
1606295447920288955,21
1606295448125292878,21
1606295448334616627,21
1606295448518538089,21
1606295448730294727,21
1606295449041535797,21
1606295449174758359,21
1606295449360061222,21
1606295449563612882,21
1606295449793582119,21
1606295449925888480,22
1606295450143576398,22
1606295450457823610,22
1606295450591794824,22
1606295450798694145,21
1606295451020537448,21
1606295451123464761,21
1606295451388885749,21
1606295451540138661,22
1606295451743694342,22
1606295451937561208,22
1606295452126681082,22
1606295452327019040,22
1606295452524628081,21
1606295452726252540,21
1606295452930146310,21
1606295453121410792,21
1606295453320386519,21
1606295453533207323,21
1606295453730967570,21
1606295453920335279,21
1606295454118601035,21
1606295454362490614,21
1606295454535440699,21
1606295454730050824,21
1606295454935245179,21
1606295455129305690,21
1606295455324975168,21
1606295455529323270,21
1606295455724233126,21
1606295455930915981,21
1606295456129595986,21
1606295456320683401,21
1606295456528837733,21
1606295456723841894,21
1606295456925284303,21
1606295457122172615,21
1606295457319651337,21
1606295457520157321,21
1606295457734955899,21
1606295457925748480,21
1606295458136756122,21
1606295458344420820,22
1606295458529715879,22
1606295458728757981,22
1606295458929603671,22
1606295459125115269,22
1606295459325437891,21
1606295459525519727,21
1606295459721347285,21
1606295459928476415,21
1606295460125144108,21
1606295460319989856,20
1606295460526841311,20
1606295460725163383,20
1606295460926737015,20
1606295461120786439,21
1606295461317825369,21
1606295461520652964,21
1606295461736534397,21
1606295461920138510,21
1606295462134893843,21
1606295462329468030,21
1606295462533947222,21
1606295462729410714,21
1606295462937363185,21
1606295463126829561,21
1606295463326605787,21
1606295463526636090,21
1606295463725720173,21
1606295463998023200,21
1606295464122225103,21
1606295464322889172,21
1606295464527831169,21
1606295464721244478,21
1606295464922506340,20
1606295465120112014,20
1606295465318504312,20
1606295465520603330,20
1606295465734458036,20
1606295465920786493,21
1606295466133869599,21
1606295466329677719,21
1606295466534087463,21
1606295466736680460,21
1606295466930087364,21
1606295467124833820,21
1606295467326055556,21
1606295467531169331,21
1606295467724743781,21
1606295467928622178,21
1606295468124845582,21
1606295468319705380,21
1606295468524407029,21
1606295468720485179,21
1606295468920718459,21
1606295469120104636,21
1606295469333812556,21
1606295469521881552,21
1606295469729566187,21
1606295469935703836,21
1606295470129455156,21
1606295470334007376,21
1606295470529131345,21
1606295470750922107,21
1606295471209073920,22
1606295471272787249,22
1606295471372162509,22
1606295471558026847,22
1606295471719234584,22
1606295471920564643,22
1606295472133797202,22
1606295472369691299,22
1606295472530602707,22
1606295472726749083,22
1606295473160945808,22
1606295473213948490,22
1606295473320684429,22
1606295473525627738,22
1606295473720236688,22
1606295473924837151,21
1606295474120743082,21
1606295474319100451,21
1606295474525755483,21
1606295474720263253,21
1606295474928335209,21
1606295475133805732,21
1606295475337240860,21
1606295475538814056,21
1606295475730351875,21
1606295475961676854,21
1606295476129746848,21
1606295476325547328,21
1606295476524390671,21
1606295476728923292,21
1606295476929172257,22
1606295477123215947,22
1606295477327044471,22
1606295477520479255,22
1606295477736296221,22
1606295477919006130,22
1606295478140447171,22
1606295478328594541,22
1606295478530049906,22
1606295478730257568,21
1606295478929761848,21
1606295479126756743,21
1606295479327361105,21
1606295479531050176,21
1606295479721378525,22
1606295479920493995,22
1606295480121431092,22
1606295480336365528,22
1606295480534992665,22
1606295480730064667,22
1606295480929475724,22
1606295481138786211,22
1606295481326926209,22
1606295481529924882,22
1606295481721344778,22
1606295481926558633,22
1606295482121786066,22
1606295482374587951,22
1606295482522739380,22
1606295482734041138,21
1606295482937809855,21
1606295483135004074,21
1606295483383804841,21
1606295483559307922,21
1606295483750187640,21
1606295483937466892,21
1606295484140337565,21
1606295484351598891,21
1606295484525758336,21
1606295484730211597,21
1606295484930892142,21
1606295485128507893,21
1606295485328912960,21
1606295485520823615,21
1606295485718827380,21
1606295485920612609,21
1606295486125318373,21
1606295486337010509,21
1606295486533616767,21
1606295486729330701,21
1606295486935556357,21
1606295487129601429,21
1606295487325823153,21
1606295487530558455,21
1606295487741676655,21
1606295487929038796,21
1606295488132845434,21
1606295488320323540,21
1606295488525759543,21
1606295488720820312,21
1606295488923026239,21
1606295489127167441,21
1606295489347696871,21
1606295489520484217,21
1606295489734251207,21
1606295489935167607,21
1606295490129554744,21
1606295490330603736,21
1606295490529157464,22
1606295490725783503,22
1606295490924732042,22
1606295491125064405,22
1606295491323069260,22
1606295491523012042,22
1606295491718556485,22
1606295491922828473,22
1606295492134712951,22
1606295492343867624,22
1606295492532567058,22
1606295492724825674,22
