rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1606295379779019997,,440907,,1606295379,517977533,"""spatial""",,-1.31702012765,-27.7428248047,3.34464054339
1606295379779030142,,440908,,1606295379,518229570,"""spatial""",,-1.30372431066,-27.7566508151,3.38187638686
1606295379779036680,,440909,,1606295379,529850832,"""spatial""",,-1.29295619727,-27.7670873442,3.41812035881
1606295379779048283,,440910,,1606295379,548892531,"""spatial""",,-1.28023144812,-27.7759170712,3.44996355449
1606295379779053565,,440911,,1606295379,549034781,"""spatial""",,-1.26714064352,-27.7826516378,3.48009066515
1606295379779067754,,440912,,1606295379,569020956,"""spatial""",,-1.25418921748,-27.7899172515,3.5112935306
1606295379779095316,,440913,,1606295379,569199706,"""spatial""",,-1.24081229199,-27.7971709124,3.54050155392
1606295379779171862,,440914,,1606295379,589380905,"""spatial""",,-1.22859564488,-27.8044245733,3.57038597942
1606295379779175856,,440915,,1606295379,589448380,"""spatial""",,-1.21765261461,-27.8105427152,3.60096494978
1606295379779255290,,440916,,1606295379,608269892,"""spatial""",,-1.2110375764,-27.8164354609,3.63054820662
1606295379779392393,,440917,,1606295379,608448667,"""spatial""",,-1.20578526765,-27.8229770746,3.6628515863
1606295379779556904,,440918,,1606295379,624632279,"""spatial""",,-1.20156100909,-27.8263989994,3.69474771595
1606295379779645578,,440919,,1606295379,634194991,"""spatial""",,-1.19567391964,-27.8278060184,3.72502381011
1606295379779659606,,440920,,1606295379,654078702,"""spatial""",,-1.19353852503,-27.829508443,3.75638675811
1606295379779676711,,440921,,1606295379,654253927,"""spatial""",,-1.19606057238,-27.8313833299,3.7923929541
1606295379779699652,,440922,,1606295379,673897427,"""spatial""",,-1.19646664847,-27.8323378489,3.82348226765
1606295379779710420,,440923,,1606295379,674038252,"""spatial""",,-1.19646558125,-27.8321278206,3.85164185694
1606295379779718470,,440924,,1606295379,693827113,"""spatial""",,-1.19790877888,-27.8324607923,3.88063686374
1606295379779726739,,440925,,1606295379,693889226,"""spatial""",,-1.19881473944,-27.8355377925,3.90715251187
1606295379779731541,,440926,,1606295379,713416913,"""spatial""",,-1.1996267849,-27.8428290195,3.93374798784
1606295379779738029,,440927,,1606295379,713589688,"""spatial""",,-1.20137317889,-27.8567967563,3.96181195448
1606295379779743108,,440928,,1606295379,727965475,"""spatial""",,-1.2037750576,-27.8774580785,3.98764415681
1606295379779764488,,440929,,1606295379,728582462,"""spatial""",,-1.20356684355,-27.8997125424,4.01183668685
1606295379779768722,,440930,,1606295379,748341724,"""spatial""",,-1.20715834912,-27.9327757806,4.0377845755
1606295379779998319,,440931,,1606295379,748469674,"""spatial""",,-1.21151867785,-27.9681237171,4.06456660101
1606295379780002866,,440932,,1606295379,767788098,"""spatial""",,-1.21520730017,-28.0041888235,4.09273857002
1606295379780079999,,440933,,1606295379,767944398,"""spatial""",,-1.22042300337,-28.0444988924,4.12376683876
1606295379780085960,,440934,,1606295379,784028635,"""spatial""",,-1.22224698405,-28.0905309523,4.15037512133
1606295379780091801,,440935,,1606295379,803715822,"""spatial""",,-1.2212102894,-28.1422679278,4.16865356132
1606295379780095293,,440936,,1606295379,803863859,"""spatial""",,-1.21907179986,-28.1981200921,4.18051845368
1606295379780112572,,440937,,1606295379,823663871,"""spatial""",,-1.21609469115,-28.2548192,4.18368510014
1606295379780352818,,440938,,1606295379,823777021,"""spatial""",,-1.21182230111,-28.3126299211,4.17770484263
1606295379780390683,,440939,,1606295379,833415421,"""spatial""",,-1.21615947123,-28.3688218874,4.16706255413
1606295379780434700,,440940,,1606295379,852999920,"""spatial""",,-1.22074935835,-28.4229972404,4.15550800849
1606295379780643137,,440941,,1606295379,853178282,"""spatial""",,-1.22578480859,-28.4782466406,4.13733757086
1606295379780721856,,440942,,1606295379,872947857,"""spatial""",,-1.23194393168,-28.5305710123,4.11645426748
1606295379786644569,,440943,,1606295379,873062682,"""spatial""",,-1.2401834877,-28.5815003178,4.09778778736
1606295379801933304,,440944,,1606295379,889423318,"""spatial""",,-1.24607324519,-28.6263934437,4.07633501695
1606295379807477301,,440945,,1606295379,889501593,"""spatial""",,-1.25220985,-28.6626873614,4.05862348266
1606295379807485322,,440946,,1606295379,908619668,"""spatial""",,-1.25913384755,-28.6961552883,4.04386259009
1606295379807491042,,440947,,1606295379,908751343,"""spatial""",,-1.26481677838,-28.7270448188,4.03205105858
1606295379818042266,,440948,,1606295379,925323530,"""spatial""",,-1.27062862903,-28.7549290661,4.0233229306
1606295379834842375,,440949,,1606295379,943683766,"""spatial""",,-1.27549844719,-28.7861464457,4.015064805
1606295379837035874,,440950,,1606295379,943943666,"""spatial""",,-1.27907362433,-28.8100725984,4.01013511597
1606295379847290173,,440951,,1606295379,956018741,"""spatial""",,-1.28158286508,-28.8319633547,4.00889714418
1606295379849011284,,440952,,1606295379,956206178,"""spatial""",,-1.28241412045,-28.8556402054,4.01116348633
1606295379859283984,,440953,,1606295379,968092165,"""spatial""",,-1.28090027305,-28.8792316788,4.01755014009
1606295379877134322,,440954,,1606295379,984699652,"""spatial""",,-1.27881514436,-28.9011565861,4.02990424475
1606295379898419802,,440955,,1606295380,4090989,"""spatial""",,-1.27720727514,-28.9201001157,4.05062960001
1606295379902708339,,440956,,1606295380,4292827,"""spatial""",,-1.27596503449,-28.9363081546,4.07841523644
1606295379915668556,,440957,,1606295380,24145626,"""spatial""",,-1.27495576732,-28.9475916271,4.11293672005
1606295379918343339,,440958,,1606295380,24329338,"""spatial""",,-1.27388694943,-28.9572119486,4.15213218749
1606295379927423772,,440959,,1606295380,34802688,"""spatial""",,-1.26814670904,-28.9641036095,4.19277736258
1606295379944768829,,440960,,1606295380,53283250,"""spatial""",,-1.26496021235,-28.9728052705,4.23600989871
1606295379947418546,,440961,,1606295380,53445462,"""spatial""",,-1.26276174521,-28.9806463276,4.27764118236
1606295379964168270,,440962,,1606295380,73224724,"""spatial""",,-1.25961857754,-28.990515951,4.32817604448
1606295379968659707,,440963,,1606295380,73372624,"""spatial""",,-1.25799000431,-28.9994669139,4.36987349559
1606295379981755698,,440964,,1606295380,89284486,"""spatial""",,-1.25657754253,-29.0080490466,4.41572626304
1606295379984062000,,440965,,1606295380,89384086,"""spatial""",,-1.25541971874,-29.0161496509,4.45869882509
1606295380006258855,,440966,,1606295380,108747285,"""spatial""",,-1.25372508478,-29.0225631986,4.49662003536
1606295380008972403,,440967,,1606295380,108921198,"""spatial""",,-1.25433852114,-29.0270438027,4.53423943665
1606295380017616071,,440968,,1606295380,125148934,"""spatial""",,-1.25480457483,-29.0299910293,4.56882836838
1606295380035202362,,440969,,1606295380,143886509,"""spatial""",,-1.25866203089,-29.0265349536,4.60281453591
1606295380036819173,,440970,,1606295380,144003084,"""spatial""",,-1.25902210992,-29.0250971987,4.63365113247
1606295380054385761,,440971,,1606295380,163542958,"""spatial""",,-1.26160007945,-29.0218289532,4.66404931626
1606295380056145258,,440972,,1606295380,163668021,"""spatial""",,-1.26283783779,-29.0169931793,4.69238222159
1606295380074113002,,440973,,1606295380,183084970,"""spatial""",,-1.26026861945,-29.0116895374,4.71660975635
1606295380077326744,,440974,,1606295380,183699595,"""spatial""",,-1.25578534731,-29.0081071032,4.738955574
1606295380094781386,,440975,,1606295380,203007644,"""spatial""",,-1.25021852969,-29.0048422728,4.76131846711
1606295380109262372,,440976,,1606295380,203166707,"""spatial""",,-1.24292250027,-29.0006246309,4.78092025626
1606295380114109518,,440977,,1606295380,223105343,"""spatial""",,-1.23650126868,-28.9963591778,4.80046142747
1606295380116186138,,440978,,1606295380,223273631,"""spatial""",,-1.23060596165,-28.9910521208,4.81783444051
1606295380121748417,,440979,,1606295380,229320443,"""spatial""",,-1.22588747488,-28.9811312711,4.8330418567
1606295380139117890,,440980,,1606295380,248309067,"""spatial""",,-1.2201654839,-28.9705103269,4.84776731766
1606295380153134108,,440981,,1606295380,248455717,"""spatial""",,-1.21421692274,-28.9551799673,4.86406927167
1606295380162047825,,440982,,1606295380,268317154,"""spatial""",,-1.20998828859,-28.9346450036,4.88328771644
1606295380164656008,,440983,,1606295380,268481429,"""spatial""",,-1.20634790449,-28.9106847,4.90402118256
1606295380181233842,,440984,,1606295380,287972291,"""spatial""",,-1.20272576979,-28.8825067545,4.92508975482
1606295380183921453,,440985,,1606295380,288010828,"""spatial""",,-1.19870022705,-28.8499335824,4.94600720916
1606295380217340788,,440986,,1606295380,307708178,"""spatial""",,-1.19408483344,-28.8151098629,4.96618657617
1606295380222116543,,440987,,1606295380,307803865,"""spatial""",,-1.18840478409,-28.7777521432,4.98574140777
1606295380222123245,,440988,,1606295380,324190427,"""spatial""",,-1.18005252996,-28.7396738386,5.00409497984
1606295380232417914,,440989,,1606295380,339377551,"""spatial""",,-1.17045344613,-28.7012881755,5.02338129962
1606295380234609377,,440990,,1606295380,339475901,"""spatial""",,-1.16262786361,-28.6619599462,5.04627267863
1606295380251206953,,440991,,1606295380,358662026,"""spatial""",,-1.15488584418,-28.6205502168,5.07077171341
1606295380252343094,,440992,,1606295380,358795151,"""spatial""",,-1.1479533089,-28.5775029496,5.09610744636
1606295380272748575,,440993,,1606295380,378237812,"""spatial""",,-1.14103923647,-28.5315357765,5.12447364887
1606295380275480865,,440994,,1606295380,378689525,"""spatial""",,-1.13469644533,-28.4830824145,5.15389895759
